SID,1,2,3,4,5,6,7,8,9,10,11,12
101316_02,,1,1,,1,1,,1,1,,1,1
101316_03,,1,1,,1,1,,1,1,,1,1
101316_04,,1,1,,1,1,,1,1,,1,1
101816_01,,1,1,,1,1,,1,1,,1,1
102016_01,,1,1,,1,1,,1,1,,1,1
102116_01,,1,1,,1,1,,1,1,,1,1
102116_03,,1,1,,1,1,,1,1,,1,1
102116_04,1,,1,1,,1,1,,1,1,,1
102516_02,1,,1,1,,1,1,,1,1,,1
102516_04,1,,1,1,,1,1,,1,1,,1
102716_01,1,,1,1,,1,1,,1,1,,1
102716_02,1,,1,1,,1,1,,1,1,,1
102716_04,1,,1,1,,1,1,,1,1,,1
102716_05,1,,1,1,,1,1,,1,1,,1
102816_01,1,,1,1,,1,1,,1,1,,1
102816_02,1,,1,1,,1,1,,1,1,,1
102816_03,1,,1,0,,1,1,,0,1,,1
110116_01,1,,1,1,,1,1,,1,1,,1
110116_03,1,,1,1,,1,1,,1,1,,1
110116_04,1,,1,1,,1,1,,1,1,,1
110116_05,,1,1,,0,1,,1,1,,0,1
110116_06,,1,1,,1,1,,1,0,,1,1
110116_07,,0,1,,0,1,,0,0,,0,1
111016_01,,1,1,,1,1,,0,1,,1,1
111016_02,,1,1,,1,1,,1,1,,1,1
111016_03,,1,1,,1,1,,1,1,,1,1
111316_02,,1,1,,1,1,,1,1,,1,1
111316_05,,1,1,,1,1,,1,1,,1,1
111316_07,,1,1,,1,1,,0,1,,1,1
111316_08,,1,1,,1,1,,1,1,,0,1
111316_10,,1,1,,1,1,,1,1,,1,1
111516_03,,1,1,,1,1,,1,1,,1,1
111516_04,,1,1,,1,1,,1,1,,1,1
111516_05,,1,1,,1,1,,1,1,,1,1
111516_06,,1,1,,1,1,,1,1,,1,1
111816_01,1,,1,1,,1,1,,1,1,,1
111816_02,1,,1,1,,1,1,,1,1,,1
111816_03,1,,1,1,,1,1,,1,1,,1
111816_04,1,,1,1,,1,1,,1,1,,1
111816_05,1,,1,1,,1,1,,1,1,,1
111816_06,,1,1,,1,1,,1,1,,1,1
112216_01,1,,1,1,,1,1,,1,1,,1
112216_02,1,,1,1,,1,1,,1,1,,1
112516_01,1,,0,1,,1,1,,0,0,,1
112516_02,1,,1,1,,1,1,,1,1,,1
112516_03,1,,1,1,,1,1,,1,0,,1
112716_03,1,,1,1,,1,1,,1,1,,1
112916_01,1,,1,1,,1,1,,0,1,,1
112916_02,1,,1,1,,1,1,,1,1,,1
112916_03,,1,1,,1,1,,1,1,,1,1
120116_03,,1,1,,1,1,,1,1,,0,1
120116_05,,1,1,,1,1,,0,1,,0,1
80116_04,,1,1,,1,1,,1,1,,1,1
80116_05,,1,1,,1,1,,1,1,,1,1
80716_03,,1,1,,1,1,,1,1,,1,1
80716_04,,1,1,,1,1,,1,1,,1,1
81016_01,1,,1,0,,1,1,,1,1,,1
81016_02,1,,1,1,,1,1,,1,0,,1
81016_04,1,,1,1,,1,1,,1,1,,1
81016_06,1,,1,1,,1,1,,1,1,,0
81016_07,1,,1,1,,1,1,,1,1,,1
81016_08,,1,1,,1,1,,1,1,,1,1
81016_09,,0,1,,1,1,,1,1,,0,0
81216_01,,1,1,,1,1,,1,1,,1,1
81216_02,,1,1,,1,1,,1,1,,1,1
81216_03,,1,1,,1,1,,1,1,,1,1
81216_04,,1,1,,1,1,,1,1,,1,1
81216_05,,1,1,,1,1,,1,1,,1,1
81216_06,,1,1,,1,1,,1,1,,1,1
90216_01,1,,1,1,,1,1,,1,1,,1
90216_02,1,,1,1,,1,1,,1,1,,1
90916_01,1,,1,1,,1,1,,1,1,,1
90916_02,1,,1,1,,1,1,,1,1,,1
90916_03,1,,1,1,,1,1,,1,1,,1
90916_04,1,,1,1,,1,1,,1,1,,0
90916_05,1,,1,1,,1,1,,1,1,,1
90916_06,1,,1,1,,1,1,,1,1,,1
91616_01,,1,1,,1,1,,0,1,,1,1
91616_02,,1,0,,1,1,,1,1,,1,0
92116_01,,1,1,,1,1,,1,1,,1,1