condition,trial,answer
C1,1,R
C1,2,ambiguous
C1,3,L
C1,4,R
C1,5,R
C1,6,ambiguous
C1,7,L
C1,8,L
C1,9,R
C1,10,ambiguous
C1,11,L
C1,12,R
C2,1,R
C2,2,ambiguous
C2,3,L
C2,4,R
C2,5,R
C2,6,ambiguous
C2,7,L
C2,8,L
C2,9,R
C2,10,ambiguous
C2,11,L
C2,12,R
C3,1,R
C3,2,R
C3,3,L
C3,4,ambiguous
C3,5,R
C3,6,L
C3,7,L
C3,8,ambiguous
C3,9,R
C3,10,R
C3,11,L
C3,12,ambiguous
C4,1,R
C4,2,R
C4,3,L
C4,4,ambiguous
C4,5,R
C4,6,L
C4,7,L
C4,8,ambiguous
C4,9,R
C4,10,R
C4,11,L
C4,12,ambiguous