Condition,trial,answer,gaze_answer
C1,1,L,L
C1,2,ambiguous,L
C1,3,R,R
C1,4,R,R
C1,5,ambiguous,L
C1,6,R,R
C1,7,R,R
C1,8,ambiguous,L
C1,9,R,R
C1,10,R,R
C1,11,ambiguous,L
C1,12,L,L
C2,1,L,L
C2,2,ambiguous,L
C2,3,R,R
C2,4,R,R
C2,5,ambiguous,L
C2,6,R,R
C2,7,R,R
C2,8,ambiguous,L
C2,9,R,R
C2,10,R,R
C2,11,ambiguous,L
C2,12,L,L
C3,1,ambiguous,L
C3,2,L,L
C3,3,R,R
C3,4,ambiguous,R
C3,5,L,L
C3,6,R,R
C3,7,ambiguous,R
C3,8,L,L
C3,9,R,R
C3,10,ambiguous,R
C3,11,L,L
C3,12,L,L
C4,1,ambiguous,L
C4,2,L,L
C4,3,R,R
C4,4,ambiguous,R
C4,5,L,L
C4,6,R,R
C4,7,ambiguous,R
C4,8,L,L
C4,9,R,R
C4,10,ambiguous,R
C4,11,L,L
C4,12,L,L
C5,1,L,L
C5,2,L,L
C5,3,ambiguous,R
C5,4,R,R
C5,5,L,L
C5,6,ambiguous,R
C5,7,R,R
C5,8,L,L
C5,9,ambiguous,R
C5,10,R,R
C5,11,L,L
C5,12,ambiguous,L
C6,1,L,L
C6,2,L,L
C6,3,ambiguous,R
C6,4,R,R
C6,5,L,L
C6,6,ambiguous,R
C6,7,R,R
C6,8,L,L
C6,9,ambiguous,R
C6,10,R,R
C6,11,L,L
C6,12,ambiguous,L