trial,Condition,phase_name,trial_type,line
1,C1,label-begin_slide,familiar,0
1,C1,begin_slide-end_slide,familiar,1
1,C1,end_slide-touch,familiar,2
1,C1,touch-release,familiar,3
2,C1,label-begin_slide,novel,4
2,C1,begin_slide-end_slide,novel,5
2,C1,end_slide-touch,novel,6
2,C1,touch-release,novel,7
3,C1,label-begin_slide,mutual,8
3,C1,begin_slide-end_slide,mutual,9
3,C1,end_slide-touch,mutual,10
3,C1,touch-release,mutual,11
4,C1,label-begin_slide,familiar,12
4,C1,begin_slide-end_slide,familiar,13
4,C1,end_slide-touch,familiar,14
4,C1,touch-release,familiar,15
5,C1,label-begin_slide,novel,16
5,C1,begin_slide-end_slide,novel,17
5,C1,end_slide-touch,novel,18
5,C1,touch-release,novel,19
6,C1,label-begin_slide,mutual,20
6,C1,begin_slide-end_slide,mutual,21
6,C1,end_slide-touch,mutual,22
6,C1,touch-release,mutual,23
7,C1,label-begin_slide,familiar,24
7,C1,begin_slide-end_slide,familiar,25
7,C1,end_slide-touch,familiar,26
7,C1,touch-release,familiar,27
8,C1,label-begin_slide,novel,28
8,C1,begin_slide-end_slide,novel,29
8,C1,end_slide-touch,novel,30
8,C1,touch-release,novel,31
9,C1,label-begin_slide,mutual,32
9,C1,begin_slide-end_slide,mutual,33
9,C1,end_slide-touch,mutual,34
9,C1,touch-release,mutual,35
10,C1,label-begin_slide,familiar,36
10,C1,begin_slide-end_slide,familiar,37
10,C1,end_slide-touch,familiar,38
10,C1,touch-release,familiar,39
11,C1,label-begin_slide,novel,40
11,C1,begin_slide-end_slide,novel,41
11,C1,end_slide-touch,novel,42
11,C1,touch-release,novel,43
12,C1,label-begin_slide,mutual,44
12,C1,begin_slide-end_slide,mutual,45
12,C1,end_slide-touch,mutual,46
12,C1,touch-release,mutual,47
1,C2,label-begin_slide,familiar,0
1,C2,begin_slide-end_slide,familiar,1
1,C2,end_slide-touch,familiar,2
1,C2,touch-release,familiar,3
2,C2,label-begin_slide,novel,4
2,C2,begin_slide-end_slide,novel,5
2,C2,end_slide-touch,novel,6
2,C2,touch-release,novel,7
3,C2,label-begin_slide,mutual,8
3,C2,begin_slide-end_slide,mutual,9
3,C2,end_slide-touch,mutual,10
3,C2,touch-release,mutual,11
4,C2,label-begin_slide,familiar,12
4,C2,begin_slide-end_slide,familiar,13
4,C2,end_slide-touch,familiar,14
4,C2,touch-release,familiar,15
5,C2,label-begin_slide,novel,16
5,C2,begin_slide-end_slide,novel,17
5,C2,end_slide-touch,novel,18
5,C2,touch-release,novel,19
6,C2,label-begin_slide,mutual,20
6,C2,begin_slide-end_slide,mutual,21
6,C2,end_slide-touch,mutual,22
6,C2,touch-release,mutual,23
7,C2,label-begin_slide,familiar,24
7,C2,begin_slide-end_slide,familiar,25
7,C2,end_slide-touch,familiar,26
7,C2,touch-release,familiar,27
8,C2,label-begin_slide,novel,28
8,C2,begin_slide-end_slide,novel,29
8,C2,end_slide-touch,novel,30
8,C2,touch-release,novel,31
9,C2,label-begin_slide,mutual,32
9,C2,begin_slide-end_slide,mutual,33
9,C2,end_slide-touch,mutual,34
9,C2,touch-release,mutual,35
10,C2,label-begin_slide,familiar,36
10,C2,begin_slide-end_slide,familiar,37
10,C2,end_slide-touch,familiar,38
10,C2,touch-release,familiar,39
11,C2,label-begin_slide,novel,40
11,C2,begin_slide-end_slide,novel,41
11,C2,end_slide-touch,novel,42
11,C2,touch-release,novel,43
12,C2,label-begin_slide,mutual,44
12,C2,begin_slide-end_slide,mutual,45
12,C2,end_slide-touch,mutual,46
12,C2,touch-release,mutual,47
1,C3,label-begin_slide,novel,0
1,C3,begin_slide-end_slide,novel,1
1,C3,end_slide-touch,novel,2
1,C3,touch-release,novel,3
2,C3,label-begin_slide,mutual,4
2,C3,begin_slide-end_slide,mutual,5
2,C3,end_slide-touch,mutual,6
2,C3,touch-release,mutual,7
3,C3,label-begin_slide,familiar,8
3,C3,begin_slide-end_slide,familiar,9
3,C3,end_slide-touch,familiar,10
3,C3,touch-release,familiar,11
4,C3,label-begin_slide,novel,12
4,C3,begin_slide-end_slide,novel,13
4,C3,end_slide-touch,novel,14
4,C3,touch-release,novel,15
5,C3,label-begin_slide,mutual,16
5,C3,begin_slide-end_slide,mutual,17
5,C3,end_slide-touch,mutual,18
5,C3,touch-release,mutual,19
6,C3,label-begin_slide,familiar,20
6,C3,begin_slide-end_slide,familiar,21
6,C3,end_slide-touch,familiar,22
6,C3,touch-release,familiar,23
7,C3,label-begin_slide,novel,24
7,C3,begin_slide-end_slide,novel,25
7,C3,end_slide-touch,novel,26
7,C3,touch-release,novel,27
8,C3,label-begin_slide,mutual,28
8,C3,begin_slide-end_slide,mutual,29
8,C3,end_slide-touch,mutual,30
8,C3,touch-release,mutual,31
9,C3,label-begin_slide,familiar,32
9,C3,begin_slide-end_slide,familiar,33
9,C3,end_slide-touch,familiar,34
9,C3,touch-release,familiar,35
10,C3,label-begin_slide,novel,36
10,C3,begin_slide-end_slide,novel,37
10,C3,end_slide-touch,novel,38
10,C3,touch-release,novel,39
11,C3,label-begin_slide,mutual,40
11,C3,begin_slide-end_slide,mutual,41
11,C3,end_slide-touch,mutual,42
11,C3,touch-release,mutual,43
12,C3,label-begin_slide,familiar,44
12,C3,begin_slide-end_slide,familiar,45
12,C3,end_slide-touch,familiar,46
12,C3,touch-release,familiar,47
1,C4,label-begin_slide,novel,0
1,C4,begin_slide-end_slide,novel,1
1,C4,end_slide-touch,novel,2
1,C4,touch-release,novel,3
2,C4,label-begin_slide,mutual,4
2,C4,begin_slide-end_slide,mutual,5
2,C4,end_slide-touch,mutual,6
2,C4,touch-release,mutual,7
3,C4,label-begin_slide,familiar,8
3,C4,begin_slide-end_slide,familiar,9
3,C4,end_slide-touch,familiar,10
3,C4,touch-release,familiar,11
4,C4,label-begin_slide,novel,12
4,C4,begin_slide-end_slide,novel,13
4,C4,end_slide-touch,novel,14
4,C4,touch-release,novel,15
5,C4,label-begin_slide,mutual,16
5,C4,begin_slide-end_slide,mutual,17
5,C4,end_slide-touch,mutual,18
5,C4,touch-release,mutual,19
6,C4,label-begin_slide,familiar,20
6,C4,begin_slide-end_slide,familiar,21
6,C4,end_slide-touch,familiar,22
6,C4,touch-release,familiar,23
7,C4,label-begin_slide,novel,24
7,C4,begin_slide-end_slide,novel,25
7,C4,end_slide-touch,novel,26
7,C4,touch-release,novel,27
8,C4,label-begin_slide,mutual,28
8,C4,begin_slide-end_slide,mutual,29
8,C4,end_slide-touch,mutual,30
8,C4,touch-release,mutual,31
9,C4,label-begin_slide,familiar,32
9,C4,begin_slide-end_slide,familiar,33
9,C4,end_slide-touch,familiar,34
9,C4,touch-release,familiar,35
10,C4,label-begin_slide,novel,36
10,C4,begin_slide-end_slide,novel,37
10,C4,end_slide-touch,novel,38
10,C4,touch-release,novel,39
11,C4,label-begin_slide,mutual,40
11,C4,begin_slide-end_slide,mutual,41
11,C4,end_slide-touch,mutual,42
11,C4,touch-release,mutual,43
12,C4,label-begin_slide,familiar,44
12,C4,begin_slide-end_slide,familiar,45
12,C4,end_slide-touch,familiar,46
12,C4,touch-release,familiar,47